OXIDANTES,,,,
G-2,CLORURO DE ACETILO,3,1,2.75
H-1,CICLOHEXENO,3,1,2
I-2,Cloroformo*,3,1,16
A-2,1-4 DIOXANO,3,1,1.4
C-1,"2,2-DIETIL PROPANEDIOL",3,2,2
F-1,DEKALIN (C10H18),3,3,600
H-4,DISULFURO DE CARBONO,3,1,12
ESTANT META,Diclorometano,3,2,18
d-3,2-ETIL BUTIRALDEHIDO,3,1,4
E-1,ETANOL,3,1,0
B-3,ETANOL ABSOLUTO,3,1,1
A-3,ETANOLAMINA,3,1,2
ESTANT MET,ETER DE PETROLEO,3,1,31
G-4,ETER ETILICO,3,1,3
C-2,ETOXY ETANOL,3,1,2
H-1,Eter butilico,3,2,4
H-2,FORMALDEHIDO,3,1,34
F-4,FOSFORO AMORFO,3,2,2.5
F-4,FOSFORO BLANCO,3,4,700
I-2,FURANO,3,3,200
D-2,FURFURAL,3,3,0
Bod lab3,1.10 fenantrolina,3,2,0.25
F-2,1-HEXENO,3,4,2.1
F-2,2-HEXANONA,3,3,100
G-4,HEPTANAL,3,3,0
C-1,HEXANAL,3,1,2
ESTANTE MET,HEXANO,3,1,53.34
F-1,LANA DE ACERO,3,2,5
ESTANT MET,2-METIL 2 PROPANOL,3,2,5
ESTANT MET,METANOL,3,1,9
C-1,METHYL ISOBUTYL CETONA,3,2,0
G-3,M-XILENO,3,1,5
B-2,METIL - PROPIL-CETONA,3,2,6
H-4,N-HEPTANO,3,2,2
B-4,NIQUEL EN POLVO,3,4,0
G-3,O-XILENO,3,3,900
LAB DOC  3,1-OCTANOL,3
I-H2,1-PENTANOL,3,3,1500
F-2,1-PENTENO,3,1,0
C-3,1-PROPANOL,3,1,1500
I-2,2-PENTANOL,3,1,1
B-2,2-PENTANONA,3,2,6
ESTANT MET,2-PROPANOL,3,1,8
F-2,PIRIDINA,3,1,1.5
F-1,POTACIO METALICO,3,4,500
G-3,P-XILENO,3,3,500
G-3,SODIO METALICO,3,2,3
H-4,SULFATO DE ALUMINIO Y POTACIO,3,2,1
G-4,SILICILATO DE METILO,3,2,1
H-3,SULFURO DE CARBONO,3,2,9.5
A-1,TETRAHYDROFURANO,3,1,16
ESTANT MET,TOLUENO,3,1,12
